"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "Pug", "comment", "blank", "total"
"/Users/ondrejpolak/Web Development/Eclipse/.eslintrc.json", "JSON with Comments", 37, 0, 0, 0, 0, 0, 1, 38
"/Users/ondrejpolak/Web Development/Eclipse/.prettierrc", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/ondrejpolak/Web Development/Eclipse/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"/Users/ondrejpolak/Web Development/Eclipse/app.js", "JavaScript", 0, 28, 0, 0, 0, 2, 10, 40
"/Users/ondrejpolak/Web Development/Eclipse/controllers/authController.js", "JavaScript", 0, 45, 0, 0, 0, 3, 12, 60
"/Users/ondrejpolak/Web Development/Eclipse/controllers/configController.js", "JavaScript", 0, 57, 0, 0, 0, 17, 10, 84
"/Users/ondrejpolak/Web Development/Eclipse/controllers/errorController.js", "JavaScript", 0, 77, 0, 0, 0, 13, 17, 107
"/Users/ondrejpolak/Web Development/Eclipse/controllers/postController.js", "JavaScript", 0, 104, 0, 0, 0, 11, 23, 138
"/Users/ondrejpolak/Web Development/Eclipse/controllers/userController.js", "JavaScript", 0, 49, 0, 0, 0, 5, 6, 60
"/Users/ondrejpolak/Web Development/Eclipse/dev-data/templates/accountTemplate.pug", "Pug", 0, 0, 0, 0, 76, 0, 2, 78
"/Users/ondrejpolak/Web Development/Eclipse/dev-data/templates/emailTemplate.pug", "Pug", 0, 0, 0, 0, 306, 3, 6, 315
"/Users/ondrejpolak/Web Development/Eclipse/dev-data/templates/errorTemplate.pug", "Pug", 0, 0, 0, 0, 6, 0, 0, 6
"/Users/ondrejpolak/Web Development/Eclipse/dev-data/templates/loginTemplate.pug", "Pug", 0, 0, 0, 0, 12, 0, 0, 12
"/Users/ondrejpolak/Web Development/Eclipse/dev-data/templates/tourCardTemplate.pug", "Pug", 0, 0, 0, 0, 34, 0, 2, 36
"/Users/ondrejpolak/Web Development/Eclipse/dev-data/templates/tourTemplate.pug", "Pug", 0, 0, 0, 0, 96, 0, 9, 105
"/Users/ondrejpolak/Web Development/Eclipse/jest.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"/Users/ondrejpolak/Web Development/Eclipse/models/configModel.js", "JavaScript", 0, 13, 0, 0, 0, 2, 4, 19
"/Users/ondrejpolak/Web Development/Eclipse/models/postModel.js", "JavaScript", 0, 30, 0, 0, 0, 2, 4, 36
"/Users/ondrejpolak/Web Development/Eclipse/models/tenantModel.js", "JavaScript", 0, 32, 0, 0, 0, 2, 6, 40
"/Users/ondrejpolak/Web Development/Eclipse/models/userModel.js", "JavaScript", 0, 63, 0, 0, 0, 6, 10, 79
"/Users/ondrejpolak/Web Development/Eclipse/package-lock.json", "JSON", 0, 0, 8865, 0, 0, 0, 1, 8866
"/Users/ondrejpolak/Web Development/Eclipse/package.json", "JSON", 0, 0, 48, 0, 0, 0, 1, 49
"/Users/ondrejpolak/Web Development/Eclipse/routes/configRoutes.js", "JavaScript", 0, 14, 0, 0, 0, 0, 5, 19
"/Users/ondrejpolak/Web Development/Eclipse/routes/postRoutes.js", "JavaScript", 0, 22, 0, 0, 0, 0, 7, 29
"/Users/ondrejpolak/Web Development/Eclipse/routes/userRoutes.js", "JavaScript", 0, 16, 0, 0, 0, 0, 6, 22
"/Users/ondrejpolak/Web Development/Eclipse/server.js", "JavaScript", 0, 32, 0, 0, 0, 0, 8, 40
"/Users/ondrejpolak/Web Development/Eclipse/tests/authController.test.js", "JavaScript", 0, 94, 0, 0, 0, 0, 15, 109
"/Users/ondrejpolak/Web Development/Eclipse/tests/configController.test.js", "JavaScript", 0, 104, 0, 0, 0, 0, 17, 121
"/Users/ondrejpolak/Web Development/Eclipse/tests/postController.test.js", "JavaScript", 0, 138, 0, 0, 0, 0, 19, 157
"/Users/ondrejpolak/Web Development/Eclipse/tests/setup.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 2
"/Users/ondrejpolak/Web Development/Eclipse/tests/userController.test.js", "JavaScript", 0, 104, 0, 0, 0, 0, 17, 121
"/Users/ondrejpolak/Web Development/Eclipse/utils/apiFeatures.js", "JavaScript", 0, 37, 0, 0, 0, 0, 13, 50
"/Users/ondrejpolak/Web Development/Eclipse/utils/appError.js", "JavaScript", 0, 10, 0, 0, 0, 0, 4, 14
"/Users/ondrejpolak/Web Development/Eclipse/utils/catchAsync.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"/Users/ondrejpolak/Web Development/Eclipse/utils/handleNotFound.js", "JavaScript", 0, 8, 0, 0, 0, 0, 3, 11
"Total", "-", 37, 1085, 8916, 2, 530, 66, 243, 10879
